ID,Question,A,B,C,D,Correct Answer,Difficulty
41,What defines a stressor in trauma-related disorders?,An event increasing psychological or physical demands,Any daily inconvenience,Overeating,Lack of sleep,A,Medium
42,Which traumatic event is most commonly studied?,Divorce,Unemployment,Combat and physical/sexual assault,Natural disasters,C,Medium
43,PTSD symptoms must last at least:,3 days,6 months,1 week,1 month,D,Medium
44,What category of PTSD symptoms involves flashbacks and nightmares?,Recurrent experiences,Hypervigilance,Avoidance,Mood instability,A,Medium
45,Which disorder is diagnosed between 3 days and 1 month of trauma exposure?,Acute Stress Disorder,PTSD,Panic Disorder,Adjustment Disorder,A,Medium
46,Adjustment disorder differs from PTSD in that it:,Has no specific symptom set,Requires 4 symptom categories,Only affects veterans,Lasts longer than PTSD,A,Medium
47,Prolonged grief disorder includes symptoms like:,Compulsive behaviors,Aggression,Sleepwalking,Yearning and emotional numbness,D,Medium
48,PTSD rates are highest in which group?,Teenagers,Accountants,Combat veterans,Teachers,C,Medium
49,What type of therapy helps reduce avoidance behaviors through exposure?,Narrative therapy,Psychodynamic therapy,Humanistic therapy,Exposure therapy,D,Medium
50,Which neurotransmitter is targeted by SSRIs?,Dopamine,Serotonin,Norepinephrine,GABA,B,Medium
51,What defines a stressor in trauma-related disorders?,An event increasing psychological or physical demands,Any daily inconvenience,Lack of sleep,Overeating,A,Hard
52,Which traumatic event is most commonly studied?,Natural disasters,Unemployment,Combat and physical/sexual assault,Divorce,C,Hard
53,PTSD symptoms must last at least:,1 week,3 days,1 month,6 months,C,Hard
54,What category of PTSD symptoms involves flashbacks and nightmares?,Hypervigilance,Avoidance,Mood instability,Recurrent experiences,D,Hard
55,Which disorder is diagnosed between 3 days and 1 month of trauma exposure?,Adjustment Disorder,PTSD,Panic Disorder,Acute Stress Disorder,D,Hard
56,Adjustment disorder differs from PTSD in that it:,Requires 4 symptom categories,Only affects veterans,Has no specific symptom set,Lasts longer than PTSD,C,Hard
57,Prolonged grief disorder includes symptoms like:,Yearning and emotional numbness,Compulsive behaviors,Aggression,Sleepwalking,A,Hard
58,PTSD rates are highest in which group?,Teachers,Accountants,Combat veterans,Teenagers,C,Hard
59,What type of therapy helps reduce avoidance behaviors through exposure?,Humanistic therapy,Narrative therapy,Exposure therapy,Psychodynamic therapy,C,Hard
60,Which neurotransmitter is targeted by SSRIs?,GABA,Serotonin,Norepinephrine,Dopamine,B,Hard
